Node created
2.443400 2.160300 0.000000
2.364661 2.109021 0.496172
2.334096 2.020865 0.988776
2.311163 1.930837 1.464894
2.293449 1.829024 2.381038
2.303145 1.731408 2.653474
2.295790 1.633947 2.884826
2.265476 1.540697 3.101493
2.220993 1.452573 3.279614
2.170776 1.367610 3.436719
2.117410 1.284646 3.584240
2.062097 1.203053 3.728654
2.005579 1.122446 3.875213
1.948941 1.042268 4.030173
1.910117 0.952648 4.201976
1.894943 0.855627 4.377017
1.890718 0.757192 4.543437
1.884964 0.658723 4.699432
1.869240 0.561246 4.844397
1.839351 0.466959 4.976490
1.792534 0.380655 5.104106
1.723375 0.311421 5.247561
1.635945 0.267280 5.401134
1.539289 0.250424 5.557688
1.441430 0.258190 5.715209
1.347935 0.287723 5.876738
1.264836 0.338966 6.049219
1.208383 0.418316 6.234156
1.181920 0.512741 6.413849
1.174993 0.610694 6.587874
1.178997 0.708543 6.767519
1.186965 0.805265 6.977862
1.190911 0.901687 7.257242
1.188401 0.996955 7.616319
1.159559 1.085087 8.195002
1.101072 1.163796 8.526855
1.042609 1.241942 8.791245
0.987593 1.322231 9.055325
0.945701 1.410990 9.288569
0.911572 1.502848 9.498894
0.879105 1.594861 9.714214
0.841871 1.683717 9.972835
0.812908 1.773368 10.351560
0.813755 1.855920 11.338978
0.757239 1.931329 12.094929
0.684198 1.989888 12.624125
0.591138 2.015942 13.025024
0.520227 2.069917 13.513565
0.530689 2.163292 14.034099
0.530428 2.256128 14.579574
0.501593 2.348259 15.024604
0.546911 2.423795 15.448004
0.640031 2.452554 15.756474
0.736517 2.466697 16.020729
0.831486 2.489316 16.269869
0.923712 2.521474 16.507383
1.015709 2.553610 16.747768
1.110145 2.575315 17.007620
1.202373 2.558809 17.351156
1.260295 2.495014 17.992931
1.414365 2.470417 18.710709
1.511897 2.462871 18.957426
1.609312 2.463823 19.196602
1.705434 2.473874 19.465582
1.795476 2.490621 19.908012
1.857079 2.565838 20.893068
1.947886 2.591878 21.396349
2.040788 2.569668 21.788815
2.115980 2.508205 22.126217
2.196535 2.452222 22.375538
2.280963 2.402661 22.597033
2.366462 2.355839 22.822908
2.449754 2.307697 23.094887
2.494207 2.228425 23.514410
1.596448 0.555325 24.026033
1.675882 0.601509 24.537720
1.704390 0.691520 24.991774
1.680070 0.779242 25.599539
1.614842 0.805246 26.922125
1.650284 0.726985 28.038391
1.603363 0.655710 28.870041
1.535890 0.703191 29.763897
1.531368 0.771373 31.185617
1.480161 0.715021 32.670959
1.494076 0.623873 33.332176
1.560933 0.560358 33.829578
1.634620 0.874397 34.603428
1.599459 0.934512 35.862679
1.516579 0.983892 36.398121
1.433147 1.026491 36.881561
1.351892 1.002736 37.902939
1.280068 0.942692 38.589214
1.321463 0.860893 39.826057
1.395049 0.804451 40.618694
1.484169 0.808082 41.348312
1.571567 0.842168 41.891220
1.368194 0.619965 42.531128
1.391399 0.708663 43.016640
1.351067 0.766636 45.029694
1.342196 0.720723 47.019314
1.287516 0.658429 47.949978
1.247445 0.730317 48.930706
1.293552 0.801960 49.821266
1.252616 0.816857 52.227528
1.214630 0.732182 52.858887
1.226815 0.638121 53.354980
1.292991 0.577790 53.936798
1.160352 2.485505 54.550896
1.077975 2.505781 55.243702
0.984132 2.479273 55.546291
0.894018 2.444293 55.837845
0.803036 2.412684 56.195114
0.707167 2.395498 56.483337
0.613300 2.377439 56.803543
0.581333 2.307103 57.484821
0.605271 2.215806 58.052006
0.594401 2.124782 58.746635
0.649885 2.063669 59.424900
0.742281 2.040936 59.877464
0.805048 1.975187 60.458683
0.861150 1.906643 61.112213
0.938902 1.958419 61.680382
0.993966 2.036925 62.181107
1.044404 2.121024 62.467758
1.095985 2.203255 62.730011
1.153260 2.277922 63.117313
1.201632 2.358530 63.640842
1.845217 1.946279 64.174011
1.840689 2.043574 64.490501
1.839322 2.137209 64.871620
1.769980 2.219334 65.469406
1.690656 2.277148 65.700546
1.600931 2.316653 65.902519
1.504659 2.333704 66.093979
1.408186 2.340782 66.327118
1.314208 2.338197 66.693008
1.242824 2.281232 67.483536
1.202357 2.219392 68.241608
1.257841 2.149945 68.928802
1.209901 2.067496 69.268593
1.133898 2.005187 69.492760
1.057469 1.944214 69.702652
0.991958 1.873548 69.945244
0.966868 1.780530 70.239937
0.971884 1.683314 70.504677
0.995934 1.589334 70.769653
1.038982 1.503063 71.076538
1.076130 1.412603 71.351852
1.108027 1.320572 71.605087
1.146367 1.232393 71.893356
1.199495 1.152412 72.265503
1.232185 1.061844 72.606911
1.235080 0.973834 73.029434
1.313209 1.047447 73.562691
1.399909 1.085287 73.913727
1.490659 1.051184 74.247025
1.575538 1.002981 74.498726
1.660483 0.958976 74.790909
1.725706 1.011642 75.188812
1.768776 1.101478 75.333862
1.809366 1.192029 75.450111
1.848130 1.283187 75.557266
1.884908 1.374931 75.663452
1.918993 1.467413 75.776016
1.948163 1.560862 75.908264
1.963791 1.656293 76.102364
1.964469 1.753152 76.346939
1.952182 1.847253 76.682976
1.882002 1.877931 77.643654
2.367047 2.278090 78.217888
2.279955 2.323298 78.491486
2.194673 2.370215 78.739586
2.119307 2.428483 79.053497
2.044886 2.488253 79.456100
1.956936 2.513281 79.973564
1.892530 2.448271 80.551453
1.886678 2.352829 80.972054
1.905656 2.258116 81.318153
1.919524 2.163314 81.687546
1.920174 2.069064 82.170891
1.915629 1.976079 82.735474
1.958125 1.972109 84.290543
1.983951 2.062723 84.815994
2.070272 2.094772 85.273232
2.161638 2.070529 85.716911
2.227963 2.009271 86.392067
2.272759 2.021639 87.898819
2.288939 2.113885 88.530670
2.354517 2.177516 89.144684
2.417536 2.237457 89.844551
done in 190 steps
exiting...
